s1,s2,x,y
192,550,0,0
237,577,0,2.25
278,605,0,4.5
320,713,0,9
323,865,0,13.5
310,1023,1,17
290,382,4.5,0
399,453,4.5,4.5
459,554,4.5,9
465,703,4.5,13.5
427,913,4.5,18
472,383,6.75,4.5
532,496,6.75,9
531,651,6.75,13.5
402,239,9,0
551,327,9,4.5
609,447,9,9
607,597,9,13.5
558,791,9,18
565,100,13.5,0
753,229,13.5,4.5
776,374,13.5,9
743,543,13.5,13.5
679,733,13.5,18
1023,59,17.625,0.375
1023,203,18,4.5
957,359,18,9
872,528,18,13.5
781,716,18,18
